Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,58.6,1,2.94,19,32,,,,15.004,4
1984,27.7,0,0.275,19,21,,,,6.8,3
1985,72,4,3.38,19,42,,,,24.42,4
1986,41.8,1,2,18,26,,,,17.56,4
1987,51.7,4,1.32,19,22,,,,29.296,4
1988,60.2,2,3.95,19,38,,,,28.814,4
1989,45,2,6.82,19,38,,,,26.612,4
1990,40.4,2,0.96,19,26,,,,14.332,4
1991,35.4,2,1.66,19,33,,,,13.7,4
1992,24.6,0,1.2,17,28,,,,15.35,4
1993,75.3,6,6.5,18,34,,,,43.24,4
1994,60,2,2.68,19,30,,,,25.616,4
1995,68.6,3,0.64,19,24,,,,24.744,4
1996,62.8,4,4.675,19,34,,,,28.895,4
1997,44.1,1,4.24,19,43,,,,16.472,4
1998,75,5,2.92,19,40,,,,30.4,3
1999,55.4,3,7.56,19,51,,,,22.056,4
2000,56.4,2,4.28,19,37,,,,18.116,4
2001,42.9,3,4.3,19,40,,,,19.16,4
2002,50,3,2.16,19,29,,,,27.648,4
2003,49.6,4,4.3,19,40,,,,29.416,4
2004,57.8,1,2.685,19,36,,,,14.97,4
2005,72.5,4,2.385,19,36,,,,33.071,4
2006,63.1,3,5.56,19,37,,,,29.272,4
2007,117.8,5,8.48,19,35,,,,31.096,4
2008,40,4,3.475,19,41,,,,28.69,4
2009,58,2,3.88,19,37,,,,20.44,4
2010,41,2,5.94,19,40,,,,21.312,4
2011,51.4,4,0.88,19,21,,,,30.444,4
2012,79.8,6,6.85,19,34,,,,35.715,4
2013,81.2,6,4.34,19,27,,,,34.696,4
2014,56.7,4,6.69,18,37,29,15,8,30.74,3
2015,34,3,3.02,18,33,25,11,6,28.224,3
